word,numtotal,numNaMo,numRaGa,numDidi,NaMo,RaGa,Didi,NaMo_perc,RaGa_perc,Didi_perc,NaMo_percNorm,RaGa_percNorm,Didi_percNorm,X,Y,color_coded,size,max_said,Max_used_by
aabhaar,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
aadhaar,12,1.0,5.0,6.0,0.08333333333333333,0.4166666666666667,0.5,2.2647491790284225e-05,0.00019992003198720512,0.00021639557110397808,0.0004653327128897161,0.00501002004008016,0.007220216606498195,0.23396687843027547,0.3417573883713035,Other,0,numDidi,Didi
aadhaarcard,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
aadhaarverdictpm,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
aadhar,4,0.0,1.0,3.0,0.0,0.25,0.75,0.0,3.9984006397441024e-05,0.00010819778555198904,0.0,0.001002004008016032,0.0036101083032490976,0.10862745098039214,0.18814826419473682,Didi,0,numDidi,Didi
aafindia,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
aaji,1,1.0,0.0,0.0,1.0,0.0,0.0,2.2647491790284225e-05,0.0,0.0,0.0004653327128897161,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
aakhrijumlabudgetnomo,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
aakrosh,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9984006397441024e-05,0.0,0.0,0.001002004008016032,0.0,0.5,0.8660254037844386,RaGa,0,numRaGa,RaGa
aaksarod,3,1.0,0.0,2.0,0.3333333333333333,0.0,0.6666666666666666,2.2647491790284225e-05,0.0,7.213185703465936e-05,0.0004653327128897161,0.0,0.0024067388688327317,0.16201988691752778,0.0,Didi,0,numDidi,Didi
aalo,3,3.0,0.0,0.0,1.0,0.0,0.0,6.794247537085267e-05,0.0,0.0,0.0013959981386691483,0.0,0.0,1.0,0.0,NaMo,0,numNaMo,NaMo
aaloshree,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
aamaadmiparty,2,0.0,1.0,1.0,0.0,0.5,0.5,0.0,3.9984006397441024e-05,3.606592851732968e-05,0.0,0.001002004008016032,0.0012033694344163659,0.22717331875341712,0.3934757302049581,Other,0,numRaGa,RaGa
aamir,2,1.0,0.0,1.0,0.5,0.0,0.5,2.2647491790284225e-05,0.0,3.606592851732968e-05,0.0004653327128897161,0.0,0.0012033694344163659,0.27885906040268454,0.0,Didi,0,numNaMo,NaMo
aapt,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.606592851732968e-05,0.0,0.0,0.0012033694344163659,0.0,0.0,Didi,0,numDidi,Didi
