Name,Tweet,fav_count,lang,retweets,has link,date_time
narendramodi,"Pictures from the Aligarh rally earlier today. 

It is BJP all the way! https://t.co/F6n7941kIp",6767,en,False,Yes,"Sun, 14 Apr 2019 16:50:52 UTC"
narendramodi,"देश को दमदार सरकार चाहिए, दुबकने वाली नहीं। https://t.co/arsGuc6E7J",7037,hi,False,Yes,"Sun, 14 Apr 2019 16:48:05 UTC"
narendramodi,मुझे गर्व है कि मैं करोड़ों बहनों-बेटियों की गरिमा का चौकीदार बन पाया। https://t.co/dcBX2EGxud,8489,hi,False,Yes,"Sun, 14 Apr 2019 16:47:51 UTC"
narendramodi,"बुआ ने बबुआ को खूब गाली दी।

बबुआ ने बुआ को खूब कोसा।

आज हाथी साइकिल पर सवार है, निशाने पर चौकीदार है। https://t.co/BWmwvnoLoN",9699,hi,False,Yes,"Sun, 14 Apr 2019 16:47:39 UTC"
narendramodi,"मुरादाबाद की कुछ तस्वीरें साझा कर रहा हूं। 

भाजपा की बढ़ती लोकप्रियता से सपा और बसपा डरी हुई हैं।
इसलिए उन्होंने नया नारा तैयार किया है – मेरा भी माफ, तुम्हारा भी माफ, वर्ना दोनों हो जाएंगे साफ... https://t.co/ox9birVbbi",7256,hi,False,Yes,"Sun, 14 Apr 2019 16:47:05 UTC"
narendramodi,"I want to clearly tell JKNC and PDP leaders:

Jammu and Kashmir is tired of your self-seeking politics. 

Kashmir isn’t your inherited Jagir. 

In J&amp;K, like everywhere else, the voice of the people will reign supreme! https://t.co/DaspmL5ybZ",10962,en,False,Yes,"Sun, 14 Apr 2019 16:41:51 UTC"
narendramodi,"Such is the pressure of The Dynasty that every Congress leader succumbs. 

Otherwise, what else explains Captain Amarinder Singh Ji, a devout nationalist himself, remaining absent from the official programme observing 100 years of Jallianwala Bagh massacre? https://t.co/I0OZ0SbcB6",4846,en,False,Yes,"Sun, 14 Apr 2019 16:40:05 UTC"
narendramodi,"Kathua’s mood is clear - BJP is seen as the only party that can bring development and ensure security. 

People in Jammu are disgusted with Congress' attempts to weaken the armed forces. 

Nobody here accepts the JKNC demand of India having two Prime Ministers. https://t.co/jOvsrdf5PV",5690,en,False,Yes,"Sun, 14 Apr 2019 16:35:12 UTC"
narendramodi,"A grateful nation salutes the architect of our Constitution, a stalwart whose struggles inspire countless youngsters, Dr. Babasaheb Ambedkar. 

In Delhi, joined a programme to pay tributes to respected Babasaheb. https://t.co/G5KxTuXOkc",6768,en,False,Yes,"Sun, 14 Apr 2019 16:26:42 UTC"
narendramodi,Campaigning in UP continues. Speaking in Moradabad. Watch. https://t.co/U9ngBq7rms,13987,en,False,Yes,"Sun, 14 Apr 2019 11:17:46 UTC"
narendramodi,Thank you Aligarh for showing such strong support. Addressing a rally. Watch. https://t.co/EWOy200fUZ,20511,en,False,Yes,"Sun, 14 Apr 2019 09:44:51 UTC"
narendramodi,"सकाळ या वृत्तपत्रासोबत विस्तृत संवाद साधला. यावेळी 2019 च्या सार्वत्रिक निवडणुका, महाराष्ट्र,आमच्या भविष्यातील योजना, आणि बऱ्याच इतर विषयांवर चर्चा झाली. जरूर वाचा @SakalMediaNews @abhijitpawarapg https://t.co/Ip8ciArQu8",10679,mr,False,Yes,"Sun, 14 Apr 2019 07:25:34 UTC"
narendramodi,Only BJP can effectively serve Jammu and Kashmir. Watch from Kathua. https://t.co/ZnEfGjmnQm,16534,en,False,Yes,"Sun, 14 Apr 2019 06:11:51 UTC"
narendramodi,"Another day, another set of rallies and the great opportunity of interacting with my fellow Indians...

Will join rallies in Kathua (Jammu and Kashmir), Aligarh and Moradabad (Uttar Pradesh). 

As the campaign is progressing, I can see that BJP’s support is steadily rising.",34938,en,False,No,"Sun, 14 Apr 2019 02:58:19 UTC"
narendramodi,Here’s a roundup of my speeches in Tamil Nadu and Karnataka yesterday. Do watch. https://t.co/vrAcIxEK0u,13498,en,False,Yes,"Sun, 14 Apr 2019 02:51:24 UTC"
narendramodi,"Dear Tamil sisters and brothers, 

Praying for a wonderful year ahead. https://t.co/NXZ3WkXsL0",12580,en,False,Yes,"Sun, 14 Apr 2019 02:50:29 UTC"
narendramodi,Wishing the vibrant Odia community a Happy New Year! https://t.co/IFVWP5hKzM,11869,en,False,Yes,"Sun, 14 Apr 2019 02:44:40 UTC"
narendramodi,Baisakhi greetings to you all! https://t.co/tQTOJPJ0aF,9496,en,False,Yes,"Sun, 14 Apr 2019 02:42:28 UTC"
narendramodi,"Celebrating unity in diversity, celebrating the spirit of harmony and brotherhood!

Over the coming days, people across India are marking various festivals. Greetings to everyone on these occasions. 

May there be happiness and prosperity in everyone’s lives.",17431,en,False,No,"Sun, 14 Apr 2019 02:41:04 UTC"
narendramodi,संविधान निर्माता और सामाजिक न्याय के प्रणेता बाबासाहेब डॉ. भीमराव अम्बेडकर को उनकी जयंती पर सादर नमन। जय भीम! https://t.co/KIZVJC725r,27989,hi,False,Yes,"Sun, 14 Apr 2019 02:10:43 UTC"
narendramodi,"Congress culture has:

Paralysed our economy. 

Weakened national security. 

Denied justice to many. https://t.co/Jq571NUUmI",15072,en,False,Yes,"Sat, 13 Apr 2019 16:06:58 UTC"
narendramodi,"कांग्रेस-जेडीएस का दर्शन वंशोदय है। 

हमारा दर्शन अंत्योदय है। https://t.co/Z7WBgwxeXz",18119,hi,False,Yes,"Sat, 13 Apr 2019 16:02:37 UTC"
narendramodi,Memorable Mangaluru moments... https://t.co/Z4XQ0wRuYL,42013,in,False,Yes,"Sat, 13 Apr 2019 15:59:21 UTC"
narendramodi,Thank you Mangaluru for the love and affection today. https://t.co/zyvo6d10C3,27586,en,False,Yes,"Sat, 13 Apr 2019 15:52:02 UTC"
narendramodi,Live from Namma Bengaluru. https://t.co/2uuFABJ78f,16241,in,False,Yes,"Sat, 13 Apr 2019 14:22:33 UTC"
narendramodi,"Congress never did justice to regional aspirations. Democratically elected Governments of MGR and in Kerala were dismissed because one Dynasty didn’t respect them. 

NDA accords top priority to regional aspirations. Cooperative federalism is an article of faith for us. https://t.co/I2IBvcK4v6",9835,en,False,Yes,"Sat, 13 Apr 2019 13:28:28 UTC"
narendramodi,"When one works with motto of India First, a grand memorial for Dr. Kalam is built in Tamil Nadu. 

Congress works with Family First, so they even forget great sons of Tamil Nadu like Dr. S. Radhakrishnan and Shri R. Venkataraman. Their only interest is one dynasty. https://t.co/VOsfyi3vjb",11149,en,False,Yes,"Sat, 13 Apr 2019 13:26:23 UTC"
narendramodi,The otherwise dishonest Congress mistakenly spoke the truth on one occasion. Hear more.. https://t.co/kHzwXDCukJ,10388,en,False,Yes,"Sat, 13 Apr 2019 13:25:09 UTC"
narendramodi,"Political climate in Tamil Nadu clearly favours NDA. Have a look at pictures from Theni.

DMK-Congress are in big trouble. Their rallies are witnessing very thin attendance which is why they’re trying all sorts of tricks to draw crowds. But, people have decided to reject them https://t.co/HAk03crwtN",13228,en,False,Yes,"Sat, 13 Apr 2019 13:24:09 UTC"
narendramodi,Lively atmosphere at the rally in Mangaluru. Watch. https://t.co/QNfVlmB9JC,16227,en,False,Yes,"Sat, 13 Apr 2019 11:18:15 UTC"
narendramodi,"தமிழ்நாட்டு அரசியல், 2019 தேர்தல் உள்ளிட்ட பல்வேறு செய்திகள் குறித்து தினத்தந்தி நாளிதழுக்கு விரிவாகப் பேட்டி அளித்துள்ளேன்.  படித்துப் பாருங்கள். @dinathanthi https://t.co/R0m0yDxzMG",13611,ta,False,Yes,"Sat, 13 Apr 2019 09:17:40 UTC"
narendramodi,LIVE from Ramanathapuram in Tamil Nadu. https://t.co/sRSG88ya8j,14957,en,False,Yes,"Sat, 13 Apr 2019 08:07:07 UTC"
narendramodi,"Speaking at a massive NDA rally in Theni, Tamil Nadu. Watch. https://t.co/dSZb85csC6",12857,en,False,Yes,"Sat, 13 Apr 2019 06:08:05 UTC"
narendramodi,"Today’s rallies will take place in Tamil Nadu and Karnataka. 

I invite you all to join the rallies in Theni, Ramanathapuram, Mangaluru and Bengaluru.",31198,en,False,No,"Sat, 13 Apr 2019 05:32:06 UTC"
narendramodi,"Yesterday’s campaign took me to states on the coast of the Arabian Sea. 

The rallies in Maharashtra, Karnataka and Kerala were euphoric. The message of ‘Sabka Saath, Sabka Vikas’ resonates far and wide! 

Watch the campaign highlights from yesterday. https://t.co/G70rdwPcth",16775,en,False,Yes,"Sat, 13 Apr 2019 05:30:21 UTC"
